account_id,customer_id,branch_id,account_type,account_status,opened_date,currency,snapshot_date
ACC0000000001,CUST00003422,BR0034,WALLET,ACTIVE,3/30/2023,NPR,1/1/2026
ACC0000000002,CUST00004583,BR0018,WALLET,ACTIVE,10/3/2024,NPR,1/1/2026
ACC0000000003,CUST00004720,BR0007,SALARY,ACTIVE,11/9/2021,NPR,1/1/2026
ACC0000000004,CUST00002130,BR0015,WALLET,ACTIVE,4/17/2023,NPR,1/1/2026
ACC0000000005,CUST00002667,BR0005,SAVINGS,ACTIVE,4/4/2024,NPR,1/1/2026
ACC0000000006,CUST00002592,BR0031,LOAN,ACTIVE,12/3/2023,NPR,1/1/2026
ACC0000000007,CUST00002914,BR0015,SAVINGS,ACTIVE,5/24/2024,NPR,1/1/2026
ACC0000000008,CUST00004120,BR0016,SALARY,ACTIVE,9/20/2024,NPR,1/1/2026
ACC0000000009,CUST00003467,BR0001,SALARY,CLOSED,6/21/2024,NPR,1/1/2026
ACC0000000010,CUST00000682,BR0011,SAVINGS,CLOSED,9/9/2025,NPR,1/1/2026
ACC0000000011,CUST00002091,BR0017,SALARY,DORMANT,7/20/2025,NPR,1/1/2026
ACC0000000012,CUST00000920,BR0009,SAVINGS,ACTIVE,4/26/2022,NPR,1/1/2026
ACC0000000013,CUST00003760,BR0030,LOAN,ACTIVE,3/18/2019,NPR,1/1/2026
ACC0000000014,CUST00000009,BR0024,LOAN,ACTIVE,10/23/2022,NPR,1/1/2026
ACC0000000015,CUST00003503,BR0037,WALLET,ACTIVE,3/5/2020,NPR,1/1/2026
ACC0000000016,CUST00004873,BR0016,CURRENT,ACTIVE,12/31/2025,NPR,1/1/2026
ACC0000000017,CUST00001781,BR0028,LOAN,ACTIVE,4/7/2024,NPR,1/1/2026
ACC0000000018,CUST00004597,BR0025,SALARY,ACTIVE,8/27/2023,NPR,1/1/2026
ACC0000000019,CUST00004748,BR0014,CURRENT,ACTIVE,2/18/2022,NPR,1/1/2026
ACC0000000020,CUST00001339,BR0030,WALLET,ACTIVE,3/24/2022,NPR,1/1/2026
ACC0000000021,CUST00002195,BR0024,SAVINGS,ACTIVE,8/25/2019,NPR,1/1/2026
ACC0000000022,CUST00004196,BR0002,CURRENT,ACTIVE,6/23/2024,NPR,1/1/2026
ACC0000000023,CUST00003245,BR0024,SAVINGS,ACTIVE,8/11/2021,NPR,1/1/2026
ACC0000000024,CUST00000326,BR0023,CURRENT,ACTIVE,6/27/2023,NPR,1/1/2026
ACC0000000025,CUST00003576,BR0007,SAVINGS,ACTIVE,1/14/2021,NPR,1/1/2026
ACC0000000026,CUST00001010,BR0004,WALLET,ACTIVE,1/24/2020,NPR,1/1/2026
ACC0000000027,CUST00003008,BR0031,LOAN,ACTIVE,12/25/2021,NPR,1/1/2026
ACC0000000028,CUST00002774,BR0006,CURRENT,ACTIVE,6/30/2025,NPR,1/1/2026
ACC0000000029,CUST00004282,BR0034,LOAN,ACTIVE,3/12/2019,NPR,1/1/2026
ACC0000000030,CUST00000080,BR0016,LOAN,ACTIVE,5/13/2021,NPR,1/1/2026
ACC0000000031,CUST00003258,BR0030,SAVINGS,ACTIVE,6/18/2024,NPR,1/1/2026
ACC0000000032,CUST00001881,BR0004,SAVINGS,ACTIVE,12/17/2024,NPR,1/1/2026
ACC0000000033,CUST00001079,BR0018,SALARY,ACTIVE,2/7/2021,NPR,1/1/2026
ACC0000000034,CUST00001884,BR0033,CURRENT,ACTIVE,11/15/2020,NPR,1/1/2026
ACC0000000035,CUST00001346,BR0002,LOAN,ACTIVE,11/26/2024,NPR,1/1/2026
ACC0000000036,CUST00004329,BR0018,SAVINGS,ACTIVE,7/30/2022,NPR,1/1/2026
ACC0000000037,CUST00003803,BR0019,SALARY,ACTIVE,6/10/2024,NPR,1/1/2026
ACC0000000038,CUST00001588,BR0008,SALARY,ACTIVE,4/7/2021,NPR,1/1/2026
ACC0000000039,CUST00002971,BR0010,SALARY,ACTIVE,5/23/2024,NPR,1/1/2026
ACC0000000040,CUST00004139,BR0032,LOAN,ACTIVE,10/10/2022,NPR,1/1/2026
ACC0000000041,CUST00002275,BR0014,SALARY,ACTIVE,5/26/2023,NPR,1/1/2026
ACC0000000042,CUST00003341,BR0040,CURRENT,ACTIVE,7/6/2025,NPR,1/1/2026
ACC0000000043,CUST00000971,BR0026,LOAN,ACTIVE,11/25/2019,NPR,1/1/2026
ACC0000000044,CUST00000160,BR0021,CURRENT,ACTIVE,3/25/2019,NPR,1/1/2026
ACC0000000045,CUST00002195,BR0024,LOAN,ACTIVE,5/4/2020,NPR,1/1/2026
ACC0000000046,CUST00004928,BR0021,CURRENT,DORMANT,8/16/2022,NPR,1/1/2026
ACC0000000047,CUST00004216,BR0029,SAVINGS,ACTIVE,8/19/2022,NPR,1/1/2026
ACC0000000048,CUST00004918,BR0020,WALLET,ACTIVE,9/15/2020,NPR,1/1/2026
ACC0000000049,CUST00003039,BR0013,SAVINGS,DORMANT,6/16/2022,NPR,1/1/2026
ACC0000000050,CUST00001870,BR0018,SAVINGS,ACTIVE,4/23/2025,NPR,1/1/2026
ACC0000000051,CUST00002323,BR0030,SALARY,ACTIVE,12/17/2019,NPR,1/1/2026
ACC0000000052,CUST00000137,BR0017,LOAN,ACTIVE,12/21/2019,NPR,1/1/2026
ACC0000000053,CUST00000492,BR0014,SALARY,ACTIVE,4/20/2020,NPR,1/1/2026
ACC0000000054,CUST00002596,BR0008,WALLET,CLOSED,1/23/2024,NPR,1/1/2026
ACC0000000055,CUST00002423,BR0011,SALARY,ACTIVE,6/24/2020,NPR,1/1/2026
ACC0000000056,CUST00001648,BR0023,SAVINGS,DORMANT,1/1/2020,NPR,1/1/2026
ACC0000000057,CUST00000266,BR0021,CURRENT,ACTIVE,12/13/2020,NPR,1/1/2026
ACC0000000058,CUST00002828,BR0033,CURRENT,ACTIVE,6/16/2021,NPR,1/1/2026
ACC0000000059,CUST00003185,BR0039,WALLET,ACTIVE,5/23/2022,NPR,1/1/2026
ACC0000000060,CUST00004659,BR0003,SAVINGS,ACTIVE,7/1/2023,NPR,1/1/2026
ACC0000000061,CUST00000806,BR0035,WALLET,ACTIVE,4/16/2023,NPR,1/1/2026
ACC0000000062,CUST00001870,BR0002,SALARY,ACTIVE,5/27/2025,NPR,1/1/2026
ACC0000000063,CUST00000046,BR0023,CURRENT,ACTIVE,1/17/2025,NPR,1/1/2026
ACC0000000064,CUST00003551,BR0035,WALLET,ACTIVE,5/5/2021,NPR,1/1/2026
ACC0000000065,CUST00001686,BR0028,CURRENT,ACTIVE,4/25/2025,NPR,1/1/2026
ACC0000000066,CUST00000197,BR0017,SAVINGS,ACTIVE,8/11/2022,NPR,1/1/2026
ACC0000000067,CUST00001793,BR0002,SAVINGS,ACTIVE,9/21/2022,NPR,1/1/2026
ACC0000000068,CUST00001345,BR0006,SAVINGS,ACTIVE,10/30/2023,NPR,1/1/2026
ACC0000000069,CUST00001175,BR0017,CURRENT,ACTIVE,1/30/2025,NPR,1/1/2026
ACC0000000070,CUST00001513,BR0006,CURRENT,ACTIVE,3/17/2025,NPR,1/1/2026
ACC0000000071,CUST00000836,BR0038,SAVINGS,BLOCKED,11/14/2019,NPR,1/1/2026
ACC0000000072,CUST00001158,BR0033,SAVINGS,ACTIVE,7/28/2024,NPR,1/1/2026
ACC0000000073,CUST00003298,BR0003,LOAN,ACTIVE,7/27/2022,NPR,1/1/2026
ACC0000000074,CUST00000655,BR0003,LOAN,ACTIVE,1/23/2022,NPR,1/1/2026
ACC0000000075,CUST00002977,BR0014,SALARY,ACTIVE,10/19/2025,NPR,1/1/2026
ACC0000000076,CUST00002579,BR0001,CURRENT,ACTIVE,7/10/2021,NPR,1/1/2026
ACC0000000077,CUST00003363,BR0024,LOAN,ACTIVE,5/23/2021,NPR,1/1/2026
ACC0000000078,CUST00003483,BR0039,LOAN,ACTIVE,3/1/2020,NPR,1/1/2026
ACC0000000079,CUST00004053,BR0011,LOAN,ACTIVE,8/12/2020,NPR,1/1/2026
ACC0000000080,CUST00001839,BR0007,WALLET,ACTIVE,9/11/2023,NPR,1/1/2026
ACC0000000081,CUST00004259,BR0024,WALLET,ACTIVE,3/1/2023,NPR,1/1/2026
ACC0000000082,CUST00002528,BR0003,SALARY,ACTIVE,3/6/2019,NPR,1/1/2026
ACC0000000083,CUST00002081,BR0019,CURRENT,ACTIVE,6/18/2021,NPR,1/1/2026
ACC0000000084,CUST00003166,BR0013,SAVINGS,ACTIVE,1/13/2021,NPR,1/1/2026
ACC0000000085,CUST00002048,BR0012,SAVINGS,ACTIVE,9/6/2020,NPR,1/1/2026
ACC0000000086,CUST00000015,BR0009,CURRENT,DORMANT,12/22/2019,NPR,1/1/2026
ACC0000000087,CUST00004860,BR0022,LOAN,ACTIVE,6/1/2020,NPR,1/1/2026
ACC0000000088,CUST00002397,BR0017,LOAN,ACTIVE,3/13/2024,NPR,1/1/2026
ACC0000000089,CUST00003292,BR0024,CURRENT,CLOSED,6/2/2024,NPR,1/1/2026
ACC0000000090,CUST00003914,BR0010,CURRENT,ACTIVE,3/4/2020,NPR,1/1/2026
ACC0000000091,CUST00003834,BR0021,SALARY,ACTIVE,1/23/2022,NPR,1/1/2026
ACC0000000092,CUST00004941,BR0017,SALARY,ACTIVE,1/25/2024,NPR,1/1/2026
ACC0000000093,CUST00002242,BR0016,WALLET,ACTIVE,6/25/2020,NPR,1/1/2026
ACC0000000094,CUST00004313,BR0028,LOAN,ACTIVE,7/13/2019,NPR,1/1/2026
ACC0000000095,CUST00001844,BR0035,CURRENT,ACTIVE,11/30/2022,NPR,1/1/2026
ACC0000000096,CUST00002708,BR0024,SALARY,ACTIVE,7/13/2024,NPR,1/1/2026
ACC0000000097,CUST00001565,BR0012,LOAN,ACTIVE,9/11/2020,NPR,1/1/2026
ACC0000000098,CUST00004807,BR0008,WALLET,ACTIVE,1/17/2024,NPR,1/1/2026
ACC0000000099,CUST00000161,BR0004,CURRENT,ACTIVE,10/8/2020,NPR,1/1/2026
ACC0000000100,CUST00004064,BR0026,CURRENT,ACTIVE,8/8/2025,NPR,1/1/2026
ACC0000000101,CUST00000869,BR0023,WALLET,ACTIVE,4/30/2020,NPR,1/1/2026
ACC0000000102,CUST00004208,BR0014,SAVINGS,ACTIVE,8/17/2022,NPR,1/1/2026
ACC0000000103,CUST00003159,BR0028,WALLET,ACTIVE,9/14/2022,NPR,1/1/2026
ACC0000000104,CUST00001565,BR0015,SAVINGS,ACTIVE,1/3/2021,NPR,1/1/2026
ACC0000000105,CUST00001782,BR0022,SALARY,ACTIVE,5/22/2020,NPR,1/1/2026
ACC0000000106,CUST00004592,BR0012,SALARY,ACTIVE,10/29/2019,NPR,1/1/2026
ACC0000000107,CUST00002246,BR0035,CURRENT,CLOSED,6/7/2022,NPR,1/1/2026
ACC0000000108,CUST00002419,BR0022,SAVINGS,ACTIVE,10/7/2023,NPR,1/1/2026
ACC0000000109,CUST00002148,BR0026,SAVINGS,DORMANT,6/28/2023,NPR,1/1/2026
ACC0000000110,CUST00004867,BR0033,SAVINGS,ACTIVE,12/6/2022,NPR,1/1/2026
ACC0000000111,CUST00003962,BR0026,SALARY,ACTIVE,1/3/2023,NPR,1/1/2026
ACC0000000112,CUST00001373,BR0029,SALARY,ACTIVE,12/4/2020,NPR,1/1/2026
ACC0000000113,CUST00000019,BR0021,SALARY,ACTIVE,5/23/2021,NPR,1/1/2026
