balance_date,account_id,opening_balance,credit_total,debit_total,closing_balance,currency
2026-01-24,ACC0000000001,171486.85,37911.04,71247.05,138150.84,NPR
2026-01-24,ACC0000000002,264970.07,0.0,8001.61,256968.46,NPR
2026-01-24,ACC0000000003,252058.83,0.0,40958.18,211100.65,NPR
2026-01-24,ACC0000000004,335113.86,23451.69,0.0,358565.55,NPR
2026-01-24,ACC0000000005,310862.1,0.0,7367.78,303494.32,NPR
2026-01-24,ACC0000000006,348680.5,0.0,44219.14,304461.36,NPR
2026-01-24,ACC0000000007,490935.66,581.7,41592.33,449925.03,NPR
2026-01-24,ACC0000000008,372887.85,63530.2,41494.11,394923.94,NPR
2026-01-24,ACC0000000009,91623.43,0.0,0.0,91623.43,NPR
2026-01-24,ACC0000000010,54383.77,0.0,0.0,54383.77,NPR
2026-01-24,ACC0000000011,355198.14,0.0,0.0,355198.14,NPR
2026-01-24,ACC0000000012,468132.95,21802.95,56575.66,433360.24,NPR
2026-01-24,ACC0000000013,53874.86,9344.21,34785.96,28433.11,NPR
2026-01-24,ACC0000000014,213643.27,0.0,80230.95,133412.32,NPR
2026-01-24,ACC0000000015,491400.38,26614.54,3176.47,514838.45,NPR
2026-01-24,ACC0000000016,136916.93,8171.73,83520.73,61567.93,NPR
2026-01-24,ACC0000000017,212670.81,60473.94,74364.93,198779.82,NPR
2026-01-24,ACC0000000018,268384.44,0.0,0.0,268384.44,NPR
2026-01-24,ACC0000000019,266677.03,25798.25,23361.1,269114.18,NPR
2026-01-24,ACC0000000020,381764.66,0.0,30633.73,351130.93,NPR
2026-01-24,ACC0000000021,25642.2,58041.01,93132.84,-9449.63,NPR
2026-01-24,ACC0000000022,352122.94,37611.19,69940.56,319793.57,NPR
2026-01-24,ACC0000000023,365777.0,22803.08,48050.85,340529.23,NPR
2026-01-24,ACC0000000024,19297.76,0.0,34148.89,-14851.13,NPR
2026-01-24,ACC0000000025,403935.73,0.0,108840.15,295095.58,NPR
2026-01-24,ACC0000000026,274716.92,21387.3,22269.68,273834.54,NPR
2026-01-24,ACC0000000027,410653.21,0.0,0.0,410653.21,NPR
2026-01-24,ACC0000000028,166023.69,0.0,40046.52,125977.17,NPR
2026-01-24,ACC0000000029,75146.59,0.0,42087.51,33059.08,NPR
2026-01-24,ACC0000000030,179669.28,0.0,60790.18,118879.1,NPR
2026-01-24,ACC0000000031,366787.75,0.0,18271.08,348516.67,NPR
2026-01-24,ACC0000000032,385333.64,0.0,99623.97,285709.67,NPR
2026-01-24,ACC0000000033,25951.53,0.0,62699.04,-36747.51,NPR
2026-01-24,ACC0000000034,23450.42,0.0,145296.27,-121845.85,NPR
2026-01-24,ACC0000000035,366963.46,0.0,17905.68,349057.78,NPR
2026-01-24,ACC0000000036,110521.36,0.0,51096.85,59424.51,NPR
2026-01-24,ACC0000000037,148771.37,0.0,75269.84,73501.53,NPR
2026-01-24,ACC0000000038,424852.75,12952.56,0.0,437805.31,NPR
2026-01-24,ACC0000000039,31008.31,16783.76,48129.2,-337.13,NPR
2026-01-24,ACC0000000040,297183.87,5178.83,0.0,302362.7,NPR
2026-01-24,ACC0000000041,457283.14,26861.29,69758.99,414385.44,NPR
2026-01-24,ACC0000000042,129053.57,0.0,94980.87,34072.7,NPR
2026-01-24,ACC0000000043,436486.32,0.0,141258.92,295227.4,NPR
2026-01-24,ACC0000000044,294562.03,0.0,36910.42,257651.61,NPR
2026-01-24,ACC0000000045,32851.05,32623.46,0.0,65474.51,NPR
2026-01-24,ACC0000000046,312507.25,0.0,0.0,312507.25,NPR
2026-01-24,ACC0000000047,412158.46,0.0,48216.88,363941.58,NPR
2026-01-24,ACC0000000048,81047.92,0.0,76604.43,4443.49,NPR
2026-01-24,ACC0000000049,63054.18,0.0,0.0,63054.18,NPR
2026-01-24,ACC0000000050,364920.07,82605.38,24218.77,423306.68,NPR
2026-01-24,ACC0000000051,413922.15,0.0,87411.62,326510.53,NPR
2026-01-24,ACC0000000052,6448.34,49781.65,59814.25,-3584.26,NPR
2026-01-24,ACC0000000053,30163.05,0.0,54375.62,-24212.57,NPR
2026-01-24,ACC0000000054,273288.52,0.0,0.0,273288.52,NPR
2026-01-24,ACC0000000055,364002.47,47444.78,0.0,411447.25,NPR
2026-01-24,ACC0000000056,259616.21,0.0,0.0,259616.21,NPR
2026-01-24,ACC0000000057,319885.19,37938.81,43719.6,314104.4,NPR
2026-01-24,ACC0000000058,88441.97,18964.18,83107.14,24299.01,NPR
2026-01-24,ACC0000000059,352825.4,0.0,54753.33,298072.07,NPR
2026-01-24,ACC0000000060,225910.58,32593.21,73947.41,184556.38,NPR
2026-01-24,ACC0000000061,457978.14,0.0,46558.92,411419.22,NPR
2026-01-24,ACC0000000062,81970.51,0.0,22419.29,59551.22,NPR
2026-01-24,ACC0000000063,13955.17,0.0,0.0,13955.17,NPR
2026-01-24,ACC0000000064,399010.78,0.0,48593.78,350417.0,NPR
2026-01-24,ACC0000000065,448964.79,0.0,116661.73,332303.06,NPR
2026-01-24,ACC0000000066,439378.45,22360.87,25264.05,436475.27,NPR
2026-01-24,ACC0000000067,69639.0,5280.54,0.0,74919.54,NPR
2026-01-24,ACC0000000068,40617.94,0.0,53260.23,-12642.29,NPR
2026-01-24,ACC0000000069,74913.88,0.0,0.0,74913.88,NPR
2026-01-24,ACC0000000070,83433.06,4700.4,40952.9,47180.56,NPR
2026-01-24,ACC0000000071,91079.45,0.0,0.0,91079.45,NPR
2026-01-24,ACC0000000072,216788.87,42240.02,31467.18,227561.71,NPR
2026-01-24,ACC0000000073,66983.75,0.0,26653.58,40330.17,NPR
2026-01-24,ACC0000000074,343494.52,0.0,0.0,343494.52,NPR
2026-01-24,ACC0000000075,255926.69,23281.09,55080.37,224127.41,NPR
2026-01-24,ACC0000000076,487583.31,0.0,35199.01,452384.3,NPR
2026-01-24,ACC0000000077,358223.68,15556.41,130355.19,243424.9,NPR
2026-01-24,ACC0000000078,382089.09,29043.13,0.0,411132.22,NPR
2026-01-24,ACC0000000079,78596.03,0.0,0.0,78596.03,NPR
2026-01-24,ACC0000000080,4487.98,39699.38,102349.85,-58162.49,NPR
2026-01-24,ACC0000000081,359285.27,17112.34,16427.61,359970.0,NPR
2026-01-24,ACC0000000082,184649.12,0.0,0.0,184649.12,NPR
2026-01-24,ACC0000000083,131694.99,0.0,170431.58,-38736.59,NPR
2026-01-24,ACC0000000084,446504.58,44053.1,0.0,490557.68,NPR
2026-01-24,ACC0000000085,115030.0,40485.23,79551.81,75963.42,NPR
2026-01-24,ACC0000000086,152889.9,0.0,0.0,152889.9,NPR
2026-01-24,ACC0000000087,229141.25,0.0,26847.96,202293.29,NPR
2026-01-24,ACC0000000088,137879.11,5112.65,45444.69,97547.07,NPR
2026-01-24,ACC0000000089,447932.71,0.0,0.0,447932.71,NPR
2026-01-24,ACC0000000090,129773.12,0.0,0.0,129773.12,NPR
2026-01-24,ACC0000000091,315911.23,0.0,37249.18,278662.05,NPR
2026-01-24,ACC0000000092,421750.44,36282.63,14689.24,443343.83,NPR
2026-01-24,ACC0000000093,242949.26,12184.76,0.0,255134.02,NPR
2026-01-24,ACC0000000094,261534.41,9798.91,43994.78,227338.54,NPR
2026-01-24,ACC0000000095,115330.44,0.0,89756.01,25574.43,NPR
2026-01-24,ACC0000000096,329967.49,20676.91,0.0,350644.4,NPR
2026-01-24,ACC0000000097,66579.3,0.0,0.0,66579.3,NPR
2026-01-24,ACC0000000098,405589.94,0.0,31435.85,374154.09,NPR
2026-01-24,ACC0000000099,234693.23,0.0,86250.09,148443.14,NPR
2026-01-24,ACC0000000100,497243.28,46962.2,33010.9,511194.58,NPR
2026-01-24,ACC0000000101,472945.35,0.0,10015.5,462929.85,NPR
2026-01-24,ACC0000000102,288924.53,16056.46,79131.37,225849.62,NPR
2026-01-24,ACC0000000103,179715.48,79762.89,80111.18,179367.19,NPR
2026-01-24,ACC0000000104,291326.26,36472.13,57372.35,270426.04,NPR
2026-01-24,ACC0000000105,199662.46,15077.88,27936.49,186803.85,NPR
2026-01-24,ACC0000000106,136781.95,0.0,32387.61,104394.34,NPR
2026-01-24,ACC0000000107,231838.5,0.0,0.0,231838.5,NPR
2026-01-24,ACC0000000108,49289.36,47699.29,54369.1,42619.55,NPR
2026-01-24,ACC0000000109,353563.71,0.0,0.0,353563.71,NPR
2026-01-24,ACC0000000110,72412.64,0.0,64052.84,8359.8,NPR
2026-01-24,ACC0000000111,470944.03,5987.94,58018.64,418913.33,NPR
2026-01-24,ACC0000000112,404137.97,40837.3,0.0,444975.27,NPR
2026-01-24,ACC0000000113,282823.51,0.0,19254.21,263569.3,NPR
2026-01-24,ACC0000000114,355960.82,0.0,55862.1,300098.72,NPR
2026-01-24,ACC0000000115,429616.3,0.0,107698.09,321918.21,NPR
2026-01-24,ACC0000000116,130183.49,35322.93,59800.42,105706.0,NPR
2026-01-24,ACC0000000117,161450.45,0.0,38072.2,123378.25,NPR
2026-01-24,ACC0000000118,291822.81,0.0,68245.53,223577.28,NPR
2026-01-24,ACC0000000119,357836.74,30762.29,0.0,388599.03,NPR
2026-01-24,ACC0000000120,42244.68,0.0,12691.98,29552.7,NPR
2026-01-24,ACC0000000121,211921.49,0.0,36399.69,175521.8,NPR
2026-01-24,ACC0000000122,212750.44,0.0,0.0,212750.44,NPR
2026-01-24,ACC0000000123,417438.81,0.0,0.0,417438.81,NPR
2026-01-24,ACC0000000124,368030.21,0.0,26390.74,341639.47,NPR
2026-01-24,ACC0000000125,283927.31,0.0,0.0,283927.31,NPR
2026-01-24,ACC0000000126,99346.63,30861.87,0.0,130208.5,NPR
2026-01-24,ACC0000000127,100884.95,0.0,0.0,100884.95,NPR
2026-01-24,ACC0000000128,421876.76,0.0,209454.58,212422.18,NPR
2026-01-24,ACC0000000129,381302.53,47929.58,57330.8,371901.31,NPR
2026-01-24,ACC0000000130,493410.14,55699.45,100294.68,448814.91,NPR
2026-01-24,ACC0000000131,320251.9,44971.94,60307.62,304916.22,NPR
2026-01-24,ACC0000000132,199069.3,26684.87,0.0,225754.17,NPR
2026-01-24,ACC0000000133,428568.26,0.0,86181.9,342386.36,NPR
2026-01-24,ACC0000000134,104195.51,0.0,0.0,104195.51,NPR
2026-01-24,ACC0000000135,122515.53,0.0,0.0,122515.53,NPR
2026-01-24,ACC0000000136,413743.99,33154.22,11773.76,435124.45,NPR
2026-01-24,ACC0000000137,181108.18,0.0,58146.7,122961.48,NPR
2026-01-24,ACC0000000138,386947.76,0.0,131813.71,255134.05,NPR
2026-01-24,ACC0000000139,105313.11,0.0,58174.18,47138.93,NPR
2026-01-24,ACC0000000140,412521.58,0.0,112794.48,299727.1,NPR
2026-01-24,ACC0000000141,479464.9,0.0,80338.14,399126.76,NPR
2026-01-24,ACC0000000142,352681.82,0.0,28275.45,324406.37,NPR
2026-01-24,ACC0000000143,432061.28,0.0,28143.36,403917.92,NPR
2026-01-24,ACC0000000144,193965.47,0.0,33674.81,160290.66,NPR
2026-01-24,ACC0000000145,249398.89,43471.68,92908.1,199962.47,NPR
2026-01-24,ACC0000000146,236175.84,0.0,30341.99,205833.85,NPR
2026-01-24,ACC0000000147,116129.32,0.0,0.0,116129.32,NPR
2026-01-24,ACC0000000148,49488.62,10165.44,40601.67,19052.39,NPR
2026-01-24,ACC0000000149,139282.34,11240.4,60770.93,89751.81,NPR
2026-01-24,ACC0000000150,318728.17,0.0,20721.9,298006.27,NPR
2026-01-24,ACC0000000151,68635.83,0.0,0.0,68635.83,NPR
2026-01-24,ACC0000000152,384059.09,9303.93,92248.45,301114.57,NPR
2026-01-24,ACC0000000153,16518.89,11098.06,23880.78,3736.17,NPR
2026-01-24,ACC0000000154,4846.98,39296.13,22092.46,22050.65,NPR
2026-01-24,ACC0000000155,408008.53,0.0,11791.79,396216.74,NPR
2026-01-24,ACC0000000156,269596.62,0.0,0.0,269596.62,NPR
2026-01-24,ACC0000000157,373070.33,0.0,18069.66,355000.67,NPR
2026-01-24,ACC0000000158,123948.95,0.0,0.0,123948.95,NPR
2026-01-24,ACC0000000159,194982.55,0.0,89768.83,105213.72,NPR
2026-01-24,ACC0000000160,202575.85,0.0,30012.04,172563.81,NPR
2026-01-24,ACC0000000161,464454.56,0.0,91758.09,372696.47,NPR
2026-01-24,ACC0000000162,86435.79,0.0,58625.14,27810.65,NPR
2026-01-24,ACC0000000163,246828.95,16155.89,85508.4,177476.44,NPR
2026-01-24,ACC0000000164,425622.37,942.6,78450.89,348114.08,NPR
2026-01-24,ACC0000000165,37702.49,0.0,56344.81,-18642.32,NPR
2026-01-24,ACC0000000166,289559.76,16687.71,44535.99,261711.48,NPR
2026-01-24,ACC0000000167,375775.53,0.0,0.0,375775.53,NPR
2026-01-24,ACC0000000168,130566.44,0.0,7006.65,123559.79,NPR
2026-01-24,ACC0000000169,220311.78,0.0,0.0,220311.78,NPR
2026-01-24,ACC0000000170,433529.53,0.0,0.0,433529.53,NPR
2026-01-24,ACC0000000171,321763.16,47110.76,27399.33,341474.59,NPR
2026-01-24,ACC0000000172,255246.23,0.0,0.0,255246.23,NPR
2026-01-24,ACC0000000173,63206.79,0.0,0.0,63206.79,NPR
2026-01-24,ACC0000000174,362114.68,0.0,118678.32,243436.36,NPR
2026-01-24,ACC0000000175,368097.38,38919.58,70257.84,336759.12,NPR
2026-01-24,ACC0000000176,84649.9,0.0,54656.24,29993.66,NPR
2026-01-24,ACC0000000177,152352.1,35378.19,0.0,187730.29,NPR
2026-01-24,ACC0000000178,169098.78,18412.45,28863.99,158647.24,NPR
2026-01-24,ACC0000000179,276187.23,0.0,30241.99,245945.24,NPR
2026-01-24,ACC0000000180,400733.43,0.0,20229.25,380504.18,NPR
2026-01-24,ACC0000000181,215663.57,17512.75,47818.74,185357.58,NPR
2026-01-24,ACC0000000182,348931.59,0.0,48942.49,299989.1,NPR
2026-01-24,ACC0000000183,354082.52,0.0,29309.82,324772.7,NPR
2026-01-24,ACC0000000184,256389.46,0.0,43878.97,212510.49,NPR
2026-01-24,ACC0000000185,258914.85,0.0,0.0,258914.85,NPR
2026-01-24,ACC0000000186,486021.51,7979.22,0.0,494000.73,NPR
2026-01-24,ACC0000000187,492266.08,0.0,107266.82,384999.26,NPR
2026-01-24,ACC0000000188,323169.63,0.0,37445.03,285724.6,NPR
2026-01-24,ACC0000000189,462600.07,0.0,0.0,462600.07,NPR
2026-01-24,ACC0000000190,350149.7,0.0,57294.29,292855.41,NPR
2026-01-24,ACC0000000191,39740.77,0.0,0.0,39740.77,NPR
2026-01-24,ACC0000000192,398687.23,0.0,65409.99,333277.24,NPR
2026-01-24,ACC0000000193,372120.11,0.0,34194.43,337925.68,NPR
2026-01-24,ACC0000000194,166504.33,0.0,73519.55,92984.78,NPR
2026-01-24,ACC0000000195,287867.48,0.0,50993.83,236873.65,NPR
2026-01-24,ACC0000000196,8742.16,8480.12,86137.01,-68914.73,NPR
2026-01-24,ACC0000000197,385659.91,0.0,0.0,385659.91,NPR
2026-01-24,ACC0000000198,134944.13,0.0,31040.7,103903.43,NPR
2026-01-24,ACC0000000199,428296.4,0.0,26726.1,401570.3,NPR
2026-01-24,ACC0000000200,307687.54,0.0,71144.8,236542.74,NPR
2026-01-24,ACC0000000201,445183.39,0.0,95110.82,350072.57,NPR
2026-01-24,ACC0000000202,342361.94,25119.21,932.15,366549.0,NPR
2026-01-24,ACC0000000203,368848.98,0.0,40166.06,328682.92,NPR
2026-01-24,ACC0000000204,447056.95,0.0,0.0,447056.95,NPR
2026-01-24,ACC0000000205,478550.85,0.0,0.0,478550.85,NPR
2026-01-24,ACC0000000206,343552.48,0.0,37243.15,306309.33,NPR
2026-01-24,ACC0000000207,1834.77,84528.19,81545.04,4817.92,NPR
2026-01-24,ACC0000000208,349414.66,0.0,18396.35,331018.31,NPR
2026-01-24,ACC0000000209,53211.48,12526.91,151506.48,-85768.09,NPR
2026-01-24,ACC0000000210,448423.06,36131.13,33686.09,450868.1,NPR
2026-01-24,ACC0000000211,292369.26,0.0,40735.58,251633.68,NPR
2026-01-24,ACC0000000212,137984.08,0.0,0.0,137984.08,NPR
2026-01-24,ACC0000000213,461791.02,0.0,43601.88,418189.14,NPR
2026-01-24,ACC0000000214,496867.91,0.0,58032.18,438835.73,NPR
2026-01-24,ACC0000000215,483234.39,0.0,91040.96,392193.43,NPR
2026-01-24,ACC0000000216,184277.63,0.0,0.0,184277.63,NPR
2026-01-24,ACC0000000217,335071.64,3928.08,53426.15,285573.57,NPR
2026-01-24,ACC0000000218,7723.56,28966.86,134056.47,-97366.05,NPR
2026-01-24,ACC0000000219,264245.24,0.0,163023.47,101221.77,NPR
2026-01-24,ACC0000000220,178589.82,0.0,108049.5,70540.32,NPR
2026-01-24,ACC0000000221,124046.49,0.0,0.0,124046.49,NPR
2026-01-24,ACC0000000222,272190.19,0.0,17956.4,254233.79,NPR
2026-01-24,ACC0000000223,65329.37,0.0,0.0,65329.37,NPR
2026-01-24,ACC0000000224,499324.01,0.0,46686.7,452637.31,NPR
2026-01-24,ACC0000000225,499589.49,0.0,43500.36,456089.13,NPR
2026-01-24,ACC0000000226,225456.47,0.0,102692.55,122763.92,NPR
2026-01-24,ACC0000000227,308122.52,63238.11,56944.96,314415.67,NPR
2026-01-24,ACC0000000228,332093.77,13500.78,23455.06,322139.49,NPR
2026-01-24,ACC0000000229,343114.94,82673.77,172552.28,253236.43,NPR
2026-01-24,ACC0000000230,308049.3,0.0,70112.02,237937.28,NPR
2026-01-24,ACC0000000231,151694.88,0.0,82046.03,69648.85,NPR
2026-01-24,ACC0000000232,349399.22,76165.28,44370.34,381194.16,NPR
2026-01-24,ACC0000000233,398978.19,0.0,146840.42,252137.77,NPR
2026-01-24,ACC0000000234,440071.32,0.0,101956.53,338114.79,NPR
2026-01-24,ACC0000000235,264737.86,0.0,45154.67,219583.19,NPR
2026-01-24,ACC0000000236,409447.49,0.0,67579.87,341867.62,NPR
2026-01-24,ACC0000000237,237774.38,34774.35,43125.33,229423.4,NPR
2026-01-24,ACC0000000238,276588.46,0.0,14389.7,262198.76,NPR
2026-01-24,ACC0000000239,440396.24,9214.7,72362.13,377248.81,NPR
2026-01-24,ACC0000000240,314009.08,32969.11,22895.02,324083.17,NPR
2026-01-24,ACC0000000241,179247.45,39513.0,110531.76,108228.69,NPR
2026-01-24,ACC0000000242,174085.73,32672.36,87465.18,119292.91,NPR
2026-01-24,ACC0000000243,293168.11,0.0,0.0,293168.11,NPR
2026-01-24,ACC0000000244,252627.32,0.0,6194.4,246432.92,NPR
2026-01-24,ACC0000000245,121394.65,53173.16,46387.72,128180.09,NPR
2026-01-24,ACC0000000246,353696.05,31343.97,144730.54,240309.48,NPR
2026-01-24,ACC0000000247,281680.91,0.0,43681.43,237999.48,NPR
