settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-29,BRANCH,WDR,597,14920003.18,29472.75,NPR,SETTLE-20260129-BRANCH-WDR
2026-01-29,ATM,POS,893,22892082.5,47571.83,NPR,SETTLE-20260129-ATM-POS
2026-01-29,BRANCH,POS,863,21366108.66,43698.32,NPR,SETTLE-20260129-BRANCH-POS
2026-01-29,WALLET,POS,881,22426422.27,45003.11,NPR,SETTLE-20260129-WALLET-POS
2026-01-29,MOBILE,DEP,622,15810180.92,30850.52,NPR,SETTLE-20260129-MOBILE-DEP
2026-01-29,BRANCH,DEP,612,15764552.13,34309.46,NPR,SETTLE-20260129-BRANCH-DEP
2026-01-29,MOBILE,WDR,604,15233405.08,30785.81,NPR,SETTLE-20260129-MOBILE-WDR
2026-01-29,WALLET,TRF,760,19037659.41,36647.84,NPR,SETTLE-20260129-WALLET-TRF
2026-01-29,MOBILE,TRF,752,17734770.54,33494.79,NPR,SETTLE-20260129-MOBILE-TRF
2026-01-29,CARD,POS,942,23140808.76,45490.39,NPR,SETTLE-20260129-CARD-POS
2026-01-29,ATM,TRF,749,19143587.29,37548.09,NPR,SETTLE-20260129-ATM-TRF
2026-01-29,MOBILE,POS,827,19942700.4,39551.83,NPR,SETTLE-20260129-MOBILE-POS
2026-01-29,CARD,TRF,753,19204039.33,39865.14,NPR,SETTLE-20260129-CARD-TRF
2026-01-29,INTERNET_BANKING,DEP,619,15131519.46,27948.12,NPR,SETTLE-20260129-INTERNET_BANKING-DEP
2026-01-29,INTERNET_BANKING,POS,963,24431720.52,47694.44,NPR,SETTLE-20260129-INTERNET_BANKING-POS
2026-01-29,INTERNET_BANKING,FEE,148,3557154.51,6181.15,NPR,SETTLE-20260129-INTERNET_BANKING-FEE
2026-01-29,BRANCH,TRF,752,18618459.44,38960.17,NPR,SETTLE-20260129-BRANCH-TRF
2026-01-29,WALLET,DEP,623,14823427.8,27449.91,NPR,SETTLE-20260129-WALLET-DEP
2026-01-29,INTERNET_BANKING,TRF,775,19102557.13,38991.16,NPR,SETTLE-20260129-INTERNET_BANKING-TRF
2026-01-29,CARD,WDR,555,14024782.05,28152.88,NPR,SETTLE-20260129-CARD-WDR
2026-01-29,CARD,FEE,126,2998182.1,5521.1,NPR,SETTLE-20260129-CARD-FEE
2026-01-29,CARD,DEP,572,14498393.06,28545.69,NPR,SETTLE-20260129-CARD-DEP
2026-01-29,WALLET,FEE,159,4431152.05,8866.61,NPR,SETTLE-20260129-WALLET-FEE
2026-01-29,INTERNET_BANKING,WDR,578,13681556.03,28847.51,NPR,SETTLE-20260129-INTERNET_BANKING-WDR
2026-01-29,WALLET,WDR,619,15661121.18,29795.05,NPR,SETTLE-20260129-WALLET-WDR
2026-01-29,ATM,FEE,140,3438700.88,6735.6,NPR,SETTLE-20260129-ATM-FEE
2026-01-29,ATM,DEP,626,15567995.53,32037.08,NPR,SETTLE-20260129-ATM-DEP
2026-01-29,ATM,WDR,593,14858045.71,30636.41,NPR,SETTLE-20260129-ATM-WDR
2026-01-29,MOBILE,FEE,161,3942877.26,7719.44,NPR,SETTLE-20260129-MOBILE-FEE
2026-01-29,BRANCH,FEE,165,4047852.91,7645.18,NPR,SETTLE-20260129-BRANCH-FEE
