transaction_id,account_id,customer_id,branch_id,transaction_ts,transaction_date,transaction_type_code,channel,merchant_category_code,amount,fee_amount,status,currency,original_transaction_id,source_system
TXN20260108000000460,ACC0000007103,CUST00000964,BR0010,2026-01-08T09:43:28,2026-01-08,TRF,ATM,7995,22035.49,110.18,SUCCESS,NPR,,CORE_BANKING
TXN20260108000003122,ACC0000007059,CUST00001237,BR0007,2026-01-08T19:58:50,2026-01-08,TRF,MOBILE,5411,35440.4,35.44,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000005524,ACC0000006997,CUST00004170,BR0003,2026-01-08T17:54:13,2026-01-08,TRF,MOBILE,5411,32053.17,64.11,SUCCESS,NPR,,CORE_BANKING
TXN20260108000009128,ACC0000002785,CUST00002886,BR0012,2026-01-08T17:28:14,2026-01-08,WDR,WALLET,,40534.38,40.53,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000008326,ACC0000003828,CUST00000486,BR0004,2026-01-08T09:20:47,2026-01-08,DEP,CARD,,30013.74,60.03,SUCCESS,NPR,,CORE_BANKING
TXN20260108000009918,ACC0000001733,CUST00001922,BR0005,2026-01-08T05:41:05,2026-01-08,TRF,BRANCH,6011,16132.29,80.66,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000000174,ACC0000004937,CUST00004612,BR0004,2026-01-08T05:56:38,2026-01-08,POS,ATM,4111,37391.08,186.96,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000017083,ACC0000006730,CUST00004093,BR0017,2026-01-08T01:58:07,2026-01-08,POS,MOBILE,7995,29963.8,0.0,FAILED,NPR,,CORE_BANKING
TXN20260108000013999,ACC0000007018,CUST00000546,BR0012,2026-01-08T22:22:38,2026-01-08,POS,BRANCH,5732,26452.46,132.26,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000009335,ACC0000002089,CUST00001054,BR0023,2026-01-08T08:49:19,2026-01-08,FEE,CARD,,2317.27,11.59,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000010470,ACC0000006928,CUST00003092,BR0039,2026-01-08T05:29:16,2026-01-08,WDR,INTERNET_BANKING,,12672.73,12.67,SUCCESS,NPR,,CORE_BANKING
TXN20260108000015775,ACC0000005509,CUST00002010,BR0005,2026-01-08T02:32:41,2026-01-08,DEP,MOBILE,,12901.57,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000011099,ACC0000001895,CUST00001372,BR0021,2026-01-08T04:53:59,2026-01-08,TRF,CARD,4111,32082.65,32.08,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000004703,ACC0000006347,CUST00004620,BR0029,2026-01-08T14:09:55,2026-01-08,DEP,WALLET,,27821.06,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000008402,ACC0000002470,CUST00002572,BR0027,2026-01-08T00:07:19,2026-01-08,DEP,BRANCH,,49738.43,99.48,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000000336,ACC0000001841,CUST00001548,BR0005,2026-01-08T20:57:36,2026-01-08,DEP,MOBILE,,24175.37,48.35,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000013120,ACC0000003960,CUST00000478,BR0009,2026-01-08T07:54:36,2026-01-08,WDR,BRANCH,,26710.3,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000018885,ACC0000005968,CUST00000911,BR0009,2026-01-08T15:56:33,2026-01-08,TRF,MOBILE,4111,44568.27,222.84,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000016411,ACC0000005032,CUST00002756,BR0037,2026-01-08T14:13:00,2026-01-08,POS,WALLET,4829,33336.46,33.34,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000015881,ACC0000001542,CUST00001378,BR0029,2026-01-08T10:03:09,2026-01-08,WDR,INTERNET_BANKING,,24608.98,24.61,SUCCESS,NPR,,CORE_BANKING
TXN20260108000016429,ACC0000006302,CUST00004554,BR0005,2026-01-08T05:51:39,2026-01-08,POS,ATM,4111,38894.65,77.79,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000009652,ACC0000000297,CUST00001044,BR0011,2026-01-08T15:10:33,2026-01-08,TRF,INTERNET_BANKING,4111,21323.16,106.62,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000019550,ACC0000000547,CUST00004312,BR0001,2026-01-08T12:28:37,2026-01-08,TRF,INTERNET_BANKING,4111,11276.44,11.28,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000018087,ACC0000000783,CUST00001596,BR0029,2026-01-08T06:00:29,2026-01-08,FEE,BRANCH,,14899.26,0.0,FAILED,NPR,,MOBILE_BANKING
TXN20260108000006500,ACC0000005205,CUST00001716,BR0024,2026-01-08T12:38:48,2026-01-08,POS,BRANCH,5812,29809.62,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000002264,ACC0000005423,CUST00003123,BR0029,2026-01-08T01:08:01,2026-01-08,FEE,CARD,,360.95,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000003512,ACC0000004935,CUST00004776,BR0025,2026-01-08T15:32:13,2026-01-08,WDR,BRANCH,,39841.17,199.21,SUCCESS,NPR,,CORE_BANKING
TXN20260108000006013,ACC0000006300,CUST00002285,BR0007,2026-01-08T08:06:02,2026-01-08,POS,ATM,7995,38564.33,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000008491,ACC0000007748,CUST00004751,BR0027,2026-01-08T03:49:23,2026-01-08,TRF,WALLET,4111,37193.98,185.97,FAILED,NPR,,CARD_SWITCH
TXN20260108000005414,ACC0000004604,CUST00000085,BR0016,2026-01-08T17:02:09,2026-01-08,WDR,MOBILE,,40924.15,204.62,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000005885,ACC0000003928,CUST00003047,BR0020,2026-01-08T21:06:02,2026-01-08,DEP,WALLET,,15979.48,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000006078,ACC0000002164,CUST00002188,BR0027,2026-01-08T19:30:40,2026-01-08,DEP,INTERNET_BANKING,,3883.6,7.77,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000012283,ACC0000003348,CUST00002466,BR0016,2026-01-08T02:52:26,2026-01-08,TRF,BRANCH,4111,45966.97,91.93,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000012499,ACC0000005728,CUST00002670,BR0039,2026-01-08T13:17:04,2026-01-08,POS,BRANCH,5411,20785.79,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000018992,ACC0000007910,CUST00002193,BR0022,2026-01-08T13:48:14,2026-01-08,POS,BRANCH,5411,17544.82,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000011818,ACC0000007529,CUST00003490,BR0001,2026-01-08T12:11:42,2026-01-08,TRF,INTERNET_BANKING,5411,4321.56,21.61,SUCCESS,NPR,,CORE_BANKING
TXN20260108000007362,ACC0000002415,CUST00004630,BR0034,2026-01-08T09:08:53,2026-01-08,POS,ATM,7995,14653.29,73.27,SUCCESS,NPR,,CORE_BANKING
TXN20260108000017216,ACC0000007515,CUST00003570,BR0040,2026-01-08T01:58:18,2026-01-08,TRF,ATM,5732,15345.39,76.73,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000007137,ACC0000001132,CUST00003424,BR0027,2026-01-08T16:23:58,2026-01-08,TRF,INTERNET_BANKING,4829,41271.94,206.36,SUCCESS,NPR,,CORE_BANKING
TXN20260108000008872,ACC0000003915,CUST00000589,BR0029,2026-01-08T06:08:42,2026-01-08,WDR,INTERNET_BANKING,,17642.06,35.28,FAILED,NPR,,CORE_BANKING
TXN20260108000011444,ACC0000003954,CUST00002436,BR0025,2026-01-08T15:07:49,2026-01-08,TRF,MOBILE,5912,896.73,1.79,REVERSED,NPR,TXN20260108000007172,CORE_BANKING
TXN20260108000019681,ACC0000004391,CUST00002307,BR0017,2026-01-08T14:46:08,2026-01-08,WDR,INTERNET_BANKING,,32304.9,32.3,SUCCESS,NPR,,CORE_BANKING
TXN20260108000010484,ACC0000007415,CUST00000428,BR0019,2026-01-08T07:56:19,2026-01-08,POS,WALLET,7995,22512.95,22.51,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000010578,ACC0000001852,CUST00004038,BR0023,2026-01-08T18:28:36,2026-01-08,DEP,WALLET,,31435.69,62.87,SUCCESS,NPR,,CORE_BANKING
TXN20260108000012943,ACC0000005820,CUST00000361,BR0001,2026-01-08T09:05:37,2026-01-08,WDR,WALLET,,26584.46,26.58,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000011662,ACC0000003052,CUST00002231,BR0026,2026-01-08T18:15:20,2026-01-08,POS,MOBILE,4829,36176.32,72.35,SUCCESS,NPR,,CORE_BANKING
TXN20260108000016749,ACC0000005380,CUST00001793,BR0036,2026-01-08T14:32:45,2026-01-08,POS,WALLET,4829,22868.95,114.34,SUCCESS,NPR,,CORE_BANKING
TXN20260108000013088,ACC0000001461,CUST00001925,BR0025,2026-01-08T09:23:48,2026-01-08,TRF,WALLET,5812,19872.28,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000001741,ACC0000005625,CUST00002910,BR0030,2026-01-08T10:01:10,2026-01-08,TRF,ATM,4111,20159.62,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000018089,ACC0000007844,CUST00002642,BR0008,2026-01-08T14:22:17,2026-01-08,POS,BRANCH,7995,6641.55,33.21,SUCCESS,NPR,,CORE_BANKING
TXN20260108000004520,ACC0000006299,CUST00002070,BR0001,2026-01-08T04:03:54,2026-01-08,DEP,CARD,,45189.58,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000005089,ACC0000004948,CUST00004575,BR0039,2026-01-08T14:42:01,2026-01-08,TRF,ATM,4829,5694.19,5.69,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000018976,ACC0000007396,CUST00003060,BR0034,2026-01-08T14:38:21,2026-01-08,POS,BRANCH,5912,23091.44,46.18,SUCCESS,NPR,,CORE_BANKING
TXN20260108000019767,ACC0000005973,CUST00003561,BR0022,2026-01-08T03:44:57,2026-01-08,DEP,ATM,,26098.19,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000001373,ACC0000006079,CUST00000728,BR0007,2026-01-08T06:24:32,2026-01-08,TRF,ATM,5912,6365.61,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000001951,ACC0000001937,CUST00000748,BR0015,2026-01-08T16:26:33,2026-01-08,WDR,WALLET,,45336.8,45.34,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000010121,ACC0000007935,CUST00001496,BR0014,2026-01-08T22:53:17,2026-01-08,TRF,BRANCH,4829,37679.66,37.68,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000004104,ACC0000000561,CUST00002729,BR0013,2026-01-08T16:51:03,2026-01-08,POS,MOBILE,5912,25752.16,128.76,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000019325,ACC0000003196,CUST00004242,BR0030,2026-01-08T09:55:19,2026-01-08,TRF,INTERNET_BANKING,4829,7391.4,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000017044,ACC0000006997,CUST00004170,BR0003,2026-01-08T15:17:36,2026-01-08,POS,ATM,4829,15631.16,78.16,SUCCESS,NPR,,CORE_BANKING
TXN20260108000008049,ACC0000002070,CUST00000809,BR0029,2026-01-08T22:27:26,2026-01-08,FEE,ATM,,15092.92,30.19,PENDING,NPR,,CORE_BANKING
TXN20260108000015054,ACC0000005916,CUST00002044,BR0012,2026-01-08T08:38:33,2026-01-08,TRF,ATM,5812,6957.39,6.96,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000002938,ACC0000003543,CUST00003828,BR0040,2026-01-08T00:08:29,2026-01-08,DEP,CARD,,40037.27,200.19,SUCCESS,NPR,,CORE_BANKING
TXN20260108000005200,ACC0000001488,CUST00004602,BR0003,2026-01-08T02:09:52,2026-01-08,POS,CARD,5411,143.1,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000012603,ACC0000005348,CUST00001430,BR0036,2026-01-08T09:41:33,2026-01-08,POS,ATM,7995,12421.47,12.42,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000012239,ACC0000005670,CUST00004412,BR0010,2026-01-08T23:39:11,2026-01-08,WDR,BRANCH,,48849.31,0.0,FAILED,NPR,,CARD_SWITCH
TXN20260108000003439,ACC0000003980,CUST00002609,BR0022,2026-01-08T12:20:56,2026-01-08,DEP,ATM,,43790.66,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000011701,ACC0000000619,CUST00002506,BR0030,2026-01-08T00:30:23,2026-01-08,DEP,CARD,,30188.51,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000017387,ACC0000000091,CUST00003834,BR0021,2026-01-08T16:08:26,2026-01-08,DEP,CARD,,22141.13,44.28,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000007254,ACC0000006382,CUST00002027,BR0011,2026-01-08T14:26:40,2026-01-08,TRF,BRANCH,5912,42328.46,42.33,REVERSED,NPR,TXN20260108000000576,CARD_SWITCH
TXN20260108000011574,ACC0000002442,CUST00003745,BR0002,2026-01-08T02:53:16,2026-01-08,TRF,MOBILE,5411,12972.65,25.95,FAILED,NPR,,CARD_SWITCH
TXN20260108000000556,ACC0000005013,CUST00003749,BR0003,2026-01-08T18:17:26,2026-01-08,DEP,MOBILE,,29603.64,148.02,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000004004,ACC0000000662,CUST00004604,BR0013,2026-01-08T08:26:46,2026-01-08,WDR,CARD,,28144.0,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000005370,ACC0000006253,CUST00003996,BR0012,2026-01-08T11:48:34,2026-01-08,TRF,BRANCH,6011,33854.79,67.71,REVERSED,NPR,TXN20260108000005031,MOBILE_BANKING
TXN20260108000007715,ACC0000000740,CUST00001937,BR0021,2026-01-08T17:00:08,2026-01-08,WDR,WALLET,,30581.85,152.91,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000010623,ACC0000002667,CUST00003338,BR0016,2026-01-08T11:57:52,2026-01-08,POS,CARD,5411,12440.94,24.88,SUCCESS,NPR,,CORE_BANKING
TXN20260108000003034,ACC0000006276,CUST00001072,BR0019,2026-01-08T04:41:49,2026-01-08,POS,CARD,4111,42679.45,85.36,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000014355,ACC0000006082,CUST00003604,BR0038,2026-01-08T20:46:10,2026-01-08,TRF,MOBILE,4829,39839.65,0.0,PENDING,NPR,,MOBILE_BANKING
TXN20260108000004432,ACC0000003233,CUST00003304,BR0001,2026-01-08T06:35:49,2026-01-08,WDR,INTERNET_BANKING,,1761.4,1.76,SUCCESS,NPR,,CORE_BANKING
TXN20260108000013686,ACC0000005730,CUST00004992,BR0012,2026-01-08T20:19:49,2026-01-08,POS,WALLET,5732,36374.7,36.37,SUCCESS,NPR,,CORE_BANKING
TXN20260108000005234,ACC0000001884,CUST00003214,BR0038,2026-01-08T20:48:40,2026-01-08,DEP,ATM,,13658.49,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000006189,ACC0000002665,CUST00001414,BR0020,2026-01-08T11:03:43,2026-01-08,POS,INTERNET_BANKING,4829,6830.39,34.15,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000009244,ACC0000000452,CUST00002050,BR0018,2026-01-08T03:03:31,2026-01-08,DEP,BRANCH,,11114.88,55.57,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000018644,ACC0000004166,CUST00001517,BR0008,2026-01-08T23:11:34,2026-01-08,WDR,MOBILE,,41360.14,82.72,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000007787,ACC0000007594,CUST00001895,BR0029,2026-01-08T20:11:35,2026-01-08,POS,ATM,5732,20870.43,104.35,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000010249,ACC0000002900,CUST00003932,BR0015,2026-01-08T22:37:55,2026-01-08,TRF,ATM,5912,5108.7,25.54,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000005588,ACC0000005456,CUST00002625,BR0025,2026-01-08T22:17:16,2026-01-08,FEE,INTERNET_BANKING,,42604.33,85.21,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000012541,ACC0000006234,CUST00004711,BR0024,2026-01-08T07:23:29,2026-01-08,FEE,WALLET,,47677.27,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000007481,ACC0000000443,CUST00001578,BR0010,2026-01-08T23:54:38,2026-01-08,WDR,CARD,,471.25,0.47,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000009162,ACC0000003999,CUST00002926,BR0032,2026-01-08T20:01:45,2026-01-08,POS,BRANCH,6011,31282.76,156.41,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000002348,ACC0000002497,CUST00000918,BR0001,2026-01-08T19:32:56,2026-01-08,DEP,INTERNET_BANKING,,29230.45,29.23,REVERSED,NPR,TXN20260108000000744,CORE_BANKING
TXN20260108000003819,ACC0000006718,CUST00002787,BR0021,2026-01-08T01:02:36,2026-01-08,TRF,MOBILE,4111,35516.62,35.52,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000015398,ACC0000001446,CUST00004585,BR0009,2026-01-08T02:24:32,2026-01-08,WDR,INTERNET_BANKING,,39673.35,198.37,SUCCESS,NPR,,CORE_BANKING
TXN20260108000006155,ACC0000003136,CUST00004685,BR0039,2026-01-08T17:27:15,2026-01-08,POS,CARD,5812,23368.95,116.84,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000012825,ACC0000007395,CUST00003327,BR0019,2026-01-08T08:48:48,2026-01-08,TRF,CARD,4829,31324.48,62.65,SUCCESS,NPR,,CORE_BANKING
TXN20260108000018816,ACC0000004638,CUST00004975,BR0002,2026-01-08T05:41:45,2026-01-08,TRF,CARD,4111,37190.81,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000008721,ACC0000006921,CUST00000036,BR0011,2026-01-08T14:46:28,2026-01-08,DEP,MOBILE,,4144.79,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000012530,ACC0000007021,CUST00003739,BR0026,2026-01-08T02:08:41,2026-01-08,POS,CARD,5812,25840.81,25.84,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000019081,ACC0000007044,CUST00004502,BR0005,2026-01-08T04:57:59,2026-01-08,TRF,INTERNET_BANKING,5912,25484.08,50.97,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000005721,ACC0000005637,CUST00001507,BR0017,2026-01-08T21:41:47,2026-01-08,TRF,CARD,5912,35682.85,71.37,SUCCESS,NPR,,CORE_BANKING
TXN20260108000007705,ACC0000005626,CUST00002145,BR0008,2026-01-08T21:27:41,2026-01-08,DEP,CARD,,42974.33,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260108000004168,ACC0000000165,CUST00002648,BR0011,2026-01-08T03:05:11,2026-01-08,WDR,ATM,,2618.39,2.62,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000003405,ACC0000007522,CUST00002774,BR0011,2026-01-08T10:22:33,2026-01-08,DEP,BRANCH,,34380.75,34.38,SUCCESS,NPR,,CORE_BANKING
TXN20260108000018621,ACC0000006522,CUST00001222,BR0012,2026-01-08T13:10:56,2026-01-08,POS,BRANCH,4829,25220.1,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000003739,ACC0000001020,CUST00002311,BR0015,2026-01-08T11:48:23,2026-01-08,TRF,ATM,4111,40622.39,40.62,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000000042,ACC0000000082,CUST00002528,BR0003,2026-01-08T14:31:26,2026-01-08,TRF,CARD,6011,49985.37,49.99,SUCCESS,NPR,,CARD_SWITCH
TXN20260108000014780,ACC0000005667,CUST00003772,BR0019,2026-01-08T04:05:25,2026-01-08,DEP,CARD,,22094.39,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260108000015696,ACC0000001270,CUST00003894,BR0038,2026-01-08T17:54:39,2026-01-08,TRF,MOBILE,6011,20852.82,20.85,SUCCESS,NPR,,MOBILE_BANKING
