balance_date,account_id,opening_balance,credit_total,debit_total,closing_balance,currency
2026-01-06,ACC0000000001,245690.83,32725.52,37353.21,241063.14,NPR
2026-01-06,ACC0000000002,3548.01,0.0,116327.75,-112779.74,NPR
2026-01-06,ACC0000000003,436331.08,48703.65,28505.8,456528.93,NPR
2026-01-06,ACC0000000004,447918.11,0.0,72810.35,375107.76,NPR
2026-01-06,ACC0000000005,60427.6,20265.33,0.0,80692.93,NPR
2026-01-06,ACC0000000006,400226.63,0.0,101626.59,298600.04,NPR
2026-01-06,ACC0000000007,460481.97,0.0,229630.91,230851.06,NPR
2026-01-06,ACC0000000008,45341.12,76925.02,0.0,122266.14,NPR
2026-01-06,ACC0000000009,358919.89,0.0,0.0,358919.89,NPR
2026-01-06,ACC0000000010,159625.66,0.0,0.0,159625.66,NPR
2026-01-06,ACC0000000011,194967.52,0.0,0.0,194967.52,NPR
2026-01-06,ACC0000000012,187008.11,0.0,39137.63,147870.48,NPR
2026-01-06,ACC0000000013,352556.08,32263.84,49622.16,335197.76,NPR
2026-01-06,ACC0000000014,114928.55,0.0,62159.95,52768.6,NPR
2026-01-06,ACC0000000015,348539.76,0.0,47919.07,300620.69,NPR
2026-01-06,ACC0000000016,105558.2,35350.49,34131.68,106777.01,NPR
2026-01-06,ACC0000000017,111110.44,0.0,0.0,111110.44,NPR
2026-01-06,ACC0000000018,162412.64,0.0,75596.56,86816.08,NPR
2026-01-06,ACC0000000019,255980.64,0.0,106522.64,149458.0,NPR
2026-01-06,ACC0000000020,153631.47,0.0,79766.52,73864.95,NPR
2026-01-06,ACC0000000021,338672.33,7018.7,123505.16,222185.87,NPR
2026-01-06,ACC0000000022,338986.79,0.0,71416.98,267569.81,NPR
2026-01-06,ACC0000000023,68565.02,27151.17,114684.72,-18968.53,NPR
2026-01-06,ACC0000000024,196657.64,46347.43,37178.16,205826.91,NPR
2026-01-06,ACC0000000025,452753.63,0.0,28463.04,424290.59,NPR
2026-01-06,ACC0000000026,252981.23,0.0,117300.08,135681.15,NPR
2026-01-06,ACC0000000027,193652.04,8685.82,48522.06,153815.8,NPR
2026-01-06,ACC0000000028,151057.19,35517.86,0.0,186575.05,NPR
2026-01-06,ACC0000000029,269696.32,0.0,0.0,269696.32,NPR
2026-01-06,ACC0000000030,227006.55,49300.48,117509.61,158797.42,NPR
2026-01-06,ACC0000000031,117314.84,0.0,14764.67,102550.17,NPR
2026-01-06,ACC0000000032,455791.88,4896.87,39486.03,421202.72,NPR
2026-01-06,ACC0000000033,131497.74,0.0,38273.11,93224.63,NPR
2026-01-06,ACC0000000034,363877.1,33131.57,9441.9,387566.77,NPR
2026-01-06,ACC0000000035,276177.72,0.0,136693.43,139484.29,NPR
2026-01-06,ACC0000000036,217860.09,62678.59,0.0,280538.68,NPR
2026-01-06,ACC0000000037,90544.43,0.0,109542.81,-18998.38,NPR
2026-01-06,ACC0000000038,376528.4,21998.96,56421.31,342106.05,NPR
2026-01-06,ACC0000000039,178071.26,0.0,0.0,178071.26,NPR
2026-01-06,ACC0000000040,155483.27,0.0,89882.36,65600.91,NPR
2026-01-06,ACC0000000041,282794.94,8703.4,0.0,291498.34,NPR
2026-01-06,ACC0000000042,447031.1,0.0,0.0,447031.1,NPR
2026-01-06,ACC0000000043,359477.01,0.0,6528.64,352948.37,NPR
2026-01-06,ACC0000000044,480240.73,55987.96,53036.5,483192.19,NPR
2026-01-06,ACC0000000045,451399.84,0.0,35949.93,415449.91,NPR
2026-01-06,ACC0000000046,335598.19,0.0,0.0,335598.19,NPR
2026-01-06,ACC0000000047,294496.2,27083.13,60247.36,261331.97,NPR
2026-01-06,ACC0000000048,88809.58,0.0,113803.45,-24993.87,NPR
2026-01-06,ACC0000000049,147367.24,0.0,0.0,147367.24,NPR
2026-01-06,ACC0000000050,56013.16,0.0,17662.31,38350.85,NPR
2026-01-06,ACC0000000051,214937.47,0.0,22031.06,192906.41,NPR
2026-01-06,ACC0000000052,364604.75,24992.55,27389.84,362207.46,NPR
2026-01-06,ACC0000000053,85604.41,5922.27,109382.87,-17856.19,NPR
2026-01-06,ACC0000000054,170661.41,0.0,0.0,170661.41,NPR
2026-01-06,ACC0000000055,13555.58,0.0,119062.3,-105506.72,NPR
2026-01-06,ACC0000000056,479319.34,0.0,0.0,479319.34,NPR
2026-01-06,ACC0000000057,36100.32,0.0,72850.42,-36750.1,NPR
2026-01-06,ACC0000000058,161707.76,18326.84,100205.37,79829.23,NPR
2026-01-06,ACC0000000059,198747.29,0.0,53652.95,145094.34,NPR
2026-01-06,ACC0000000060,209121.61,0.0,0.0,209121.61,NPR
2026-01-06,ACC0000000061,12659.54,0.0,21081.88,-8422.34,NPR
2026-01-06,ACC0000000062,288749.35,0.0,27123.17,261626.18,NPR
2026-01-06,ACC0000000063,147472.58,0.0,50607.85,96864.73,NPR
2026-01-06,ACC0000000064,440600.9,41946.05,15857.28,466689.67,NPR
2026-01-06,ACC0000000065,181069.92,0.0,54610.33,126459.59,NPR
2026-01-06,ACC0000000066,404422.31,36117.66,83891.62,356648.35,NPR
2026-01-06,ACC0000000067,273906.06,0.0,106658.01,167248.05,NPR
2026-01-06,ACC0000000068,126464.04,0.0,0.0,126464.04,NPR
2026-01-06,ACC0000000069,62800.97,0.0,59795.93,3005.04,NPR
2026-01-06,ACC0000000070,467938.33,0.0,45034.17,422904.16,NPR
2026-01-06,ACC0000000071,181918.17,0.0,0.0,181918.17,NPR
2026-01-06,ACC0000000072,419809.39,2134.32,58986.58,362957.13,NPR
2026-01-06,ACC0000000073,376476.31,0.0,99322.73,277153.58,NPR
2026-01-06,ACC0000000074,16849.07,0.0,65258.75,-48409.68,NPR
2026-01-06,ACC0000000075,194993.72,0.0,0.0,194993.72,NPR
2026-01-06,ACC0000000076,239853.98,0.0,120740.17,119113.81,NPR
2026-01-06,ACC0000000077,86804.17,33486.68,97510.1,22780.75,NPR
2026-01-06,ACC0000000078,365709.47,0.0,79161.55,286547.92,NPR
2026-01-06,ACC0000000079,4913.15,41164.19,63176.49,-17099.15,NPR
2026-01-06,ACC0000000080,354134.16,16420.27,24122.14,346432.29,NPR
2026-01-06,ACC0000000081,446175.06,0.0,71347.39,374827.67,NPR
2026-01-06,ACC0000000082,102068.11,0.0,77286.84,24781.27,NPR
2026-01-06,ACC0000000083,121233.33,24110.8,109924.07,35420.06,NPR
2026-01-06,ACC0000000084,103176.66,0.0,35529.1,67647.56,NPR
2026-01-06,ACC0000000085,374729.08,0.0,0.0,374729.08,NPR
2026-01-06,ACC0000000086,450814.3,0.0,0.0,450814.3,NPR
2026-01-06,ACC0000000087,80259.24,0.0,15493.68,64765.56,NPR
2026-01-06,ACC0000000088,420861.6,0.0,36356.8,384504.8,NPR
2026-01-06,ACC0000000089,70151.49,0.0,0.0,70151.49,NPR
2026-01-06,ACC0000000090,268686.06,0.0,90811.01,177875.05,NPR
2026-01-06,ACC0000000091,374045.64,38498.34,65588.46,346955.52,NPR
2026-01-06,ACC0000000092,405444.14,0.0,49116.22,356327.92,NPR
2026-01-06,ACC0000000093,131420.39,0.0,9013.03,122407.36,NPR
2026-01-06,ACC0000000094,400488.56,0.0,11930.4,388558.16,NPR
2026-01-06,ACC0000000095,156585.68,0.0,0.0,156585.68,NPR
2026-01-06,ACC0000000096,356132.74,0.0,53325.88,302806.86,NPR
2026-01-06,ACC0000000097,109387.29,47831.85,10548.87,146670.27,NPR
2026-01-06,ACC0000000098,66238.02,1730.95,28712.53,39256.44,NPR
2026-01-06,ACC0000000099,310186.2,0.0,30478.56,279707.64,NPR
2026-01-06,ACC0000000100,273267.22,0.0,110369.09,162898.13,NPR
2026-01-06,ACC0000000101,20337.65,0.0,0.0,20337.65,NPR
2026-01-06,ACC0000000102,312894.98,23573.69,0.0,336468.67,NPR
2026-01-06,ACC0000000103,416051.68,45217.81,22576.92,438692.57,NPR
2026-01-06,ACC0000000104,241972.53,0.0,29665.04,212307.49,NPR
2026-01-06,ACC0000000105,27660.78,47015.8,0.0,74676.58,NPR
2026-01-06,ACC0000000106,313456.42,30916.29,35658.49,308714.22,NPR
2026-01-06,ACC0000000107,448170.0,0.0,0.0,448170.0,NPR
2026-01-06,ACC0000000108,55848.98,0.0,51326.89,4522.09,NPR
2026-01-06,ACC0000000109,41760.19,0.0,0.0,41760.19,NPR
2026-01-06,ACC0000000110,490378.82,0.0,26248.72,464130.1,NPR
2026-01-06,ACC0000000111,111098.69,29059.94,33307.22,106851.41,NPR
2026-01-06,ACC0000000112,461878.05,2987.54,51461.24,413404.35,NPR
2026-01-06,ACC0000000113,296772.48,0.0,128641.67,168130.81,NPR
2026-01-06,ACC0000000114,143692.38,39790.36,90291.69,93191.05,NPR
2026-01-06,ACC0000000115,293999.74,0.0,0.0,293999.74,NPR
2026-01-06,ACC0000000116,180773.14,0.0,17372.69,163400.45,NPR
2026-01-06,ACC0000000117,36049.48,0.0,30918.72,5130.76,NPR
2026-01-06,ACC0000000118,143223.63,0.0,120694.39,22529.24,NPR
2026-01-06,ACC0000000119,84570.14,2580.93,21864.65,65286.42,NPR
2026-01-06,ACC0000000120,159886.98,23704.93,113663.0,69928.91,NPR
2026-01-06,ACC0000000121,296897.2,9511.03,0.0,306408.23,NPR
2026-01-06,ACC0000000122,109706.27,46541.62,68544.48,87703.41,NPR
2026-01-06,ACC0000000123,233139.41,0.0,93090.38,140049.03,NPR
2026-01-06,ACC0000000124,204042.99,0.0,21223.9,182819.09,NPR
2026-01-06,ACC0000000125,20694.17,0.0,90941.63,-70247.46,NPR
2026-01-06,ACC0000000126,43465.61,0.0,32911.97,10553.64,NPR
2026-01-06,ACC0000000127,372667.45,0.0,0.0,372667.45,NPR
2026-01-06,ACC0000000128,411874.96,0.0,39722.27,372152.69,NPR
2026-01-06,ACC0000000129,11496.55,19578.9,50166.0,-19090.55,NPR
2026-01-06,ACC0000000130,149540.52,0.0,35449.02,114091.5,NPR
2026-01-06,ACC0000000131,172143.81,82243.38,32348.72,222038.47,NPR
2026-01-06,ACC0000000132,447006.65,0.0,13047.74,433958.91,NPR
2026-01-06,ACC0000000133,449106.49,0.0,0.0,449106.49,NPR
2026-01-06,ACC0000000134,432951.98,0.0,0.0,432951.98,NPR
2026-01-06,ACC0000000135,32378.07,0.0,70708.03,-38329.96,NPR
2026-01-06,ACC0000000136,305051.53,0.0,17008.83,288042.7,NPR
2026-01-06,ACC0000000137,499665.35,31125.13,78529.4,452261.08,NPR
2026-01-06,ACC0000000138,202716.26,0.0,0.0,202716.26,NPR
2026-01-06,ACC0000000139,220216.21,0.0,8177.34,212038.87,NPR
2026-01-06,ACC0000000140,283845.09,42907.87,26159.47,300593.49,NPR
2026-01-06,ACC0000000141,441822.19,0.0,0.0,441822.19,NPR
2026-01-06,ACC0000000142,192613.13,1568.09,35793.25,158387.97,NPR
2026-01-06,ACC0000000143,106492.93,0.0,24016.36,82476.57,NPR
2026-01-06,ACC0000000144,172287.19,0.0,8268.83,164018.36,NPR
2026-01-06,ACC0000000145,83800.19,0.0,77513.09,6287.1,NPR
2026-01-06,ACC0000000146,384746.08,0.0,88261.27,296484.81,NPR
