settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-19,CARD,DEP,621,15443570.04,30743.88,NPR,SETTLE-20260119-CARD-DEP
2026-01-19,BRANCH,POS,883,22396531.23,45171.81,NPR,SETTLE-20260119-BRANCH-POS
2026-01-19,WALLET,TRF,774,19256952.83,40652.4,NPR,SETTLE-20260119-WALLET-TRF
2026-01-19,CARD,WDR,606,14791548.08,29973.48,NPR,SETTLE-20260119-CARD-WDR
2026-01-19,INTERNET_BANKING,TRF,783,20040676.63,42453.83,NPR,SETTLE-20260119-INTERNET_BANKING-TRF
2026-01-19,ATM,TRF,726,18083306.12,37558.11,NPR,SETTLE-20260119-ATM-TRF
2026-01-19,MOBILE,DEP,589,14702923.21,29501.7,NPR,SETTLE-20260119-MOBILE-DEP
2026-01-19,MOBILE,WDR,558,14306996.37,27710.63,NPR,SETTLE-20260119-MOBILE-WDR
2026-01-19,INTERNET_BANKING,POS,892,22531583.11,44242.17,NPR,SETTLE-20260119-INTERNET_BANKING-POS
2026-01-19,WALLET,POS,908,22871358.59,45336.16,NPR,SETTLE-20260119-WALLET-POS
2026-01-19,INTERNET_BANKING,WDR,592,15076336.62,30066.5,NPR,SETTLE-20260119-INTERNET_BANKING-WDR
2026-01-19,CARD,TRF,706,18354290.24,37057.61,NPR,SETTLE-20260119-CARD-TRF
2026-01-19,BRANCH,DEP,617,15898117.85,29309.52,NPR,SETTLE-20260119-BRANCH-DEP
2026-01-19,WALLET,DEP,622,15435867.3,32245.85,NPR,SETTLE-20260119-WALLET-DEP
2026-01-19,WALLET,WDR,563,13949043.23,27208.57,NPR,SETTLE-20260119-WALLET-WDR
2026-01-19,ATM,POS,893,22826424.29,46957.96,NPR,SETTLE-20260119-ATM-POS
2026-01-19,ATM,WDR,628,15934481.02,31251.38,NPR,SETTLE-20260119-ATM-WDR
2026-01-19,MOBILE,TRF,775,18634509.54,36158.51,NPR,SETTLE-20260119-MOBILE-TRF
2026-01-19,MOBILE,POS,863,21297360.16,45603.55,NPR,SETTLE-20260119-MOBILE-POS
2026-01-19,CARD,POS,904,22653013.08,46072.0,NPR,SETTLE-20260119-CARD-POS
2026-01-19,BRANCH,WDR,617,15674076.01,30527.72,NPR,SETTLE-20260119-BRANCH-WDR
2026-01-19,BRANCH,TRF,780,19891990.22,42729.25,NPR,SETTLE-20260119-BRANCH-TRF
2026-01-19,INTERNET_BANKING,DEP,644,16277144.08,32668.01,NPR,SETTLE-20260119-INTERNET_BANKING-DEP
2026-01-19,WALLET,FEE,137,3405606.82,7776.81,NPR,SETTLE-20260119-WALLET-FEE
2026-01-19,ATM,DEP,606,15189770.67,30830.27,NPR,SETTLE-20260119-ATM-DEP
2026-01-19,MOBILE,FEE,153,3631292.03,6258.67,NPR,SETTLE-20260119-MOBILE-FEE
2026-01-19,BRANCH,FEE,145,3796532.51,8236.86,NPR,SETTLE-20260119-BRANCH-FEE
2026-01-19,INTERNET_BANKING,FEE,151,4041769.34,8818.2,NPR,SETTLE-20260119-INTERNET_BANKING-FEE
2026-01-19,ATM,FEE,143,3636735.42,7307.3,NPR,SETTLE-20260119-ATM-FEE
2026-01-19,CARD,FEE,166,4522042.02,8616.21,NPR,SETTLE-20260119-CARD-FEE
