transaction_id,account_id,customer_id,branch_id,transaction_ts,transaction_date,transaction_type_code,channel,merchant_category_code,amount,fee_amount,status,currency,original_transaction_id,source_system
TXN20260126000017080,ACC0000007722,CUST00003419,BR0037,2026-01-26T21:49:52,2026-01-26,POS,INTERNET_BANKING,6011,26814.87,134.07,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000017600,ACC0000007408,CUST00000885,BR0033,2026-01-26T14:52:14,2026-01-26,TRF,WALLET,6011,6648.84,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260126000007147,ACC0000000637,CUST00002239,BR0018,2026-01-26T20:55:37,2026-01-26,POS,MOBILE,5732,32095.89,160.48,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000016414,ACC0000000747,CUST00004013,BR0023,2026-01-26T23:08:42,2026-01-26,TRF,CARD,4111,20371.19,40.74,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000006145,ACC0000001684,CUST00001495,BR0032,2026-01-26T17:19:53,2026-01-26,TRF,ATM,7995,18603.8,93.02,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000012155,ACC0000000290,CUST00003116,BR0009,2026-01-26T06:53:44,2026-01-26,WDR,ATM,,35423.54,177.12,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000008491,ACC0000006465,CUST00000305,BR0025,2026-01-26T03:07:42,2026-01-26,POS,INTERNET_BANKING,4829,17137.6,34.28,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000013100,ACC0000005828,CUST00000289,BR0001,2026-01-26T00:34:18,2026-01-26,WDR,CARD,,31571.83,31.57,REVERSED,NPR,TXN20260126000006139,MOBILE_BANKING
TXN20260126000011295,ACC0000007107,CUST00000306,BR0038,2026-01-26T21:32:25,2026-01-26,POS,BRANCH,4829,26206.06,52.41,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000018930,ACC0000005682,CUST00003020,BR0016,2026-01-26T01:08:22,2026-01-26,DEP,MOBILE,,26704.95,26.7,REVERSED,NPR,TXN20260126000014547,MOBILE_BANKING
TXN20260126000019038,ACC0000004841,CUST00004756,BR0033,2026-01-26T18:50:46,2026-01-26,DEP,CARD,,8259.33,41.3,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000019287,ACC0000006625,CUST00002181,BR0017,2026-01-26T07:05:57,2026-01-26,DEP,BRANCH,,38840.85,194.2,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000012469,ACC0000007262,CUST00003695,BR0016,2026-01-26T13:43:37,2026-01-26,POS,MOBILE,7995,47345.8,0.0,SUCCESS,NPR,,CORE_BANKING
TXN20260126000009863,ACC0000001482,CUST00000916,BR0016,2026-01-26T04:28:34,2026-01-26,FEE,CARD,,26965.82,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000009719,ACC0000006428,CUST00004069,BR0002,2026-01-26T02:14:32,2026-01-26,WDR,CARD,,38211.66,76.42,REVERSED,NPR,TXN20260126000008464,MOBILE_BANKING
TXN20260126000015322,ACC0000004033,CUST00001100,BR0031,2026-01-26T20:33:07,2026-01-26,WDR,MOBILE,,15828.44,79.14,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000018883,ACC0000006699,CUST00004019,BR0011,2026-01-26T08:55:04,2026-01-26,TRF,MOBILE,6011,17469.61,87.35,SUCCESS,NPR,,CORE_BANKING
TXN20260126000016865,ACC0000005986,CUST00002893,BR0004,2026-01-26T23:02:40,2026-01-26,TRF,ATM,5732,41014.59,82.03,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000005333,ACC0000003536,CUST00002121,BR0031,2026-01-26T20:09:05,2026-01-26,POS,BRANCH,7995,40275.53,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000010166,ACC0000007722,CUST00003419,BR0037,2026-01-26T07:57:22,2026-01-26,DEP,ATM,,23903.06,47.81,SUCCESS,NPR,,CORE_BANKING
TXN20260126000006854,ACC0000002890,CUST00002255,BR0026,2026-01-26T04:52:29,2026-01-26,WDR,INTERNET_BANKING,,30235.44,30.24,PENDING,NPR,,MOBILE_BANKING
TXN20260126000000460,ACC0000004450,CUST00003217,BR0036,2026-01-26T00:13:03,2026-01-26,DEP,MOBILE,,2434.5,2.43,PENDING,NPR,,MOBILE_BANKING
TXN20260126000011705,ACC0000000733,CUST00004524,BR0015,2026-01-26T17:29:36,2026-01-26,TRF,ATM,6011,36386.16,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000014862,ACC0000000844,CUST00003242,BR0030,2026-01-26T09:20:04,2026-01-26,DEP,INTERNET_BANKING,,46490.05,0.0,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000000103,ACC0000001680,CUST00000012,BR0026,2026-01-26T11:45:33,2026-01-26,POS,MOBILE,4829,32186.18,32.19,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000010579,ACC0000000340,CUST00002211,BR0023,2026-01-26T03:54:49,2026-01-26,WDR,BRANCH,,44255.92,88.51,SUCCESS,NPR,,CORE_BANKING
TXN20260126000007976,ACC0000000165,CUST00002648,BR0011,2026-01-26T21:17:57,2026-01-26,TRF,INTERNET_BANKING,7995,34769.68,34.77,SUCCESS,NPR,,CORE_BANKING
TXN20260126000007824,ACC0000007602,CUST00004604,BR0011,2026-01-26T07:53:01,2026-01-26,POS,BRANCH,7995,3376.65,3.38,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000011046,ACC0000002296,CUST00003763,BR0020,2026-01-26T06:42:02,2026-01-26,FEE,ATM,,7569.43,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000001428,ACC0000005640,CUST00003764,BR0023,2026-01-26T17:01:01,2026-01-26,WDR,INTERNET_BANKING,,15243.47,76.22,SUCCESS,NPR,,CORE_BANKING
TXN20260126000018959,ACC0000001192,CUST00003921,BR0036,2026-01-26T21:08:34,2026-01-26,DEP,INTERNET_BANKING,,38015.14,38.02,FAILED,NPR,,MOBILE_BANKING
TXN20260126000015699,ACC0000004994,CUST00000754,BR0036,2026-01-26T19:57:22,2026-01-26,POS,CARD,6011,5790.2,11.58,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000003626,ACC0000003974,CUST00000380,BR0008,2026-01-26T03:08:18,2026-01-26,DEP,INTERNET_BANKING,,33157.79,33.16,SUCCESS,NPR,,CARD_SWITCH
TXN20260126000002445,ACC0000006600,CUST00002171,BR0030,2026-01-26T23:01:10,2026-01-26,TRF,MOBILE,5912,25853.34,0.0,SUCCESS,NPR,,MOBILE_BANKING
TXN20260126000012900,ACC0000003361,CUST00004175,BR0039,2026-01-26T17:01:24,2026-01-26,WDR,MOBILE,,15238.21,76.19,SUCCESS,NPR,,CORE_BANKING
TXN20260126000001144,ACC0000005746,CUST00001271,BR0007,2026-01-26T23:17:10,2026-01-26,WDR,CARD,,10654.93,53.27,SUCCESS,NPR,,CORE_BANKING
