branch_id,branch_name,province,region,opened_date,is_active
BR0001,Koshi Branch 001,Koshi,REGION_2,2011-02-02,true
BR0002,Lumbini Branch 002,Lumbini,REGION_3,2012-03-03,true
BR0003,Karnali Branch 003,Karnali,REGION_4,2013-04-04,true
BR0004,Sudurpashchim Branch 004,Sudurpashchim,REGION_5,2014-05-05,true
BR0005,Karnali Branch 005,Karnali,REGION_1,2015-06-06,true
BR0006,Lumbini Branch 006,Lumbini,REGION_2,2016-07-07,true
BR0007,Madhesh Branch 007,Madhesh,REGION_3,2017-08-08,true
BR0008,Bagmati Branch 008,Bagmati,REGION_4,2018-09-09,true
BR0009,Karnali Branch 009,Karnali,REGION_5,2019-10-10,true
BR0010,Bagmati Branch 010,Bagmati,REGION_1,2020-11-11,true
BR0011,Bagmati Branch 011,Bagmati,REGION_2,2021-12-12,true
BR0012,Karnali Branch 012,Karnali,REGION_3,2010-01-13,true
BR0013,Koshi Branch 013,Koshi,REGION_4,2011-02-14,true
BR0014,Karnali Branch 014,Karnali,REGION_5,2012-03-15,true
BR0015,Gandaki Branch 015,Gandaki,REGION_1,2013-04-16,true
BR0016,Bagmati Branch 016,Bagmati,REGION_2,2014-05-17,true
BR0017,Gandaki Branch 017,Gandaki,REGION_3,2015-06-18,true
BR0018,Karnali Branch 018,Karnali,REGION_4,2016-07-19,true
BR0019,Sudurpashchim Branch 019,Sudurpashchim,REGION_5,2017-08-20,true
BR0020,Gandaki Branch 020,Gandaki,REGION_1,2018-09-21,true
BR0021,Gandaki Branch 021,Gandaki,REGION_2,2019-10-22,true
BR0022,Sudurpashchim Branch 022,Sudurpashchim,REGION_3,2020-11-23,true
BR0023,Koshi Branch 023,Koshi,REGION_4,2021-12-24,true
BR0024,Bagmati Branch 024,Bagmati,REGION_5,2010-01-25,true
BR0025,Madhesh Branch 025,Madhesh,REGION_1,2011-02-26,true
BR0026,Sudurpashchim Branch 026,Sudurpashchim,REGION_2,2012-03-27,true
BR0027,Bagmati Branch 027,Bagmati,REGION_3,2013-04-01,true
BR0028,Bagmati Branch 028,Bagmati,REGION_4,2014-05-02,true
BR0029,Sudurpashchim Branch 029,Sudurpashchim,REGION_5,2015-06-03,true
BR0030,Bagmati Branch 030,Bagmati,REGION_1,2016-07-04,true
BR0031,Bagmati Branch 031,Bagmati,REGION_2,2017-08-05,true
BR0032,Sudurpashchim Branch 032,Sudurpashchim,REGION_3,2018-09-06,true
BR0033,Karnali Branch 033,Karnali,REGION_4,2019-10-07,true
BR0034,Karnali Branch 034,Karnali,REGION_5,2020-11-08,true
BR0035,Lumbini Branch 035,Lumbini,REGION_1,2021-12-09,true
BR0036,Madhesh Branch 036,Madhesh,REGION_2,2010-01-10,true
BR0037,Madhesh Branch 037,Madhesh,REGION_3,2011-02-11,true
BR0038,Lumbini Branch 038,Lumbini,REGION_4,2012-03-12,true
BR0039,Karnali Branch 039,Karnali,REGION_5,2013-04-13,true
BR0040,Karnali Branch 040,Karnali,REGION_1,2014-05-14,true
